user_ai_interest_score,user_ai_interest_weighted,user_ai_interactions,user_reputation,user_post_count,Score,ViewCount,AnswerCount,CommentCount,title_length,post_length,num_tags,total_votes,upvotes,user_post_tag_overlap,user_previous_ai_click_rate,ai_interest_x_treatment,content_quality_score,content_complexity,user_activity_level,user_reputation_level,treatment_ai_content,response
0.3058823529411765,0.09356401384083046,52.0,1.0,1.0,3.0,95.0,2.0,2.0,6.0,91.0,1.0,3.0,3.0,1,0.3058823529411765,0.0,0.03125,13.0,Inactive,New,0,1
0.7622377622377622,0.5810064061812312,327.0,1.0,2.0,3.0,95.0,2.0,2.0,6.0,91.0,1.0,3.0,3.0,1,0.7622377622377622,0.0,0.03125,13.0,Low,New,0,1
0.25118483412322273,0.06309382089351091,53.0,1.0,1.0,3.0,95.0,2.0,2.0,6.0,91.0,1.0,3.0,3.0,1,0.25118483412322273,0.0,0.03125,13.0,Inactive,New,0,1
0.7006651884700665,0.49093170633379385,316.0,1.0,3.0,3.0,95.0,2.0,2.0,6.0,91.0,1.0,3.0,3.0,1,0.7006651884700665,0.0,0.03125,13.0,Low,New,0,1
0.2914285714285714,0.08493061224489795,51.0,880.0,47.0,3.0,95.0,2.0,2.0,6.0,91.0,1.0,3.0,3.0,1,0.2914285714285714,0.0,0.03125,13.0,Very High,Intermediate,0,1
0.27388535031847133,0.07501318511907176,43.0,2333.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.27388535031847133,0.0,0.0,0.0,Very High,Advanced,0,1
0.25161290322580643,0.06330905306971903,39.0,1.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25161290322580643,0.0,0.0,0.0,Very High,New,0,1
0.32903225806451614,0.10826222684703435,102.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.32903225806451614,0.0,0.0,0.0,Inactive,Beginner,0,1
0.4879032258064516,0.23804955775234132,121.0,103.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4879032258064516,0.0,0.0,0.0,Low,Beginner,0,1
0.22535211267605634,0.05078357468756199,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22535211267605634,0.0,0.0,0.0,Inactive,New,0,1
0.34459459459459457,0.11874543462381298,51.0,1.0,1.0,2.0,1487.0,2.0,0.0,14.0,97.0,2.0,2.0,2.0,2,0.34459459459459457,0.34459459459459457,0.0013440860215053765,6.466666666666667,Inactive,New,1,1
0.6521035598705501,0.4252390527958442,403.0,33.0,6.0,2.0,1487.0,2.0,0.0,14.0,97.0,2.0,2.0,2.0,2,0.6521035598705501,0.6521035598705501,0.0013440860215053765,6.466666666666667,Medium,New,1,1
